date,type
2025-01-01,full
2025-01-02,full
2025-01-03,full
2025-01-13,full
2025-02-11,full
2025-02-24,full
2025-03-20,full
2025-04-29,full
2025-05-05,full
2025-05-06,full
2025-07-21,full
2025-08-11,full
2025-09-15,full
2025-09-23,full
2025-10-13,full
2025-11-03,full
2025-11-24,full
2025-12-31,full
2026-01-01,full
2026-01-02,full
2026-01-12,full
2026-02-11,full
2026-02-23,full
2026-03-20,full
2026-04-29,full
2026-05-04,full
2026-05-05,full
2026-05-06,full
2026-07-20,full
2026-08-11,full
2026-09-21,full
2026-09-22,full
2026-09-23,full
2026-10-12,full
2026-11-03,full
2026-11-23,full
2026-12-31,full
2027-01-01,full
2027-01-11,full
