name,asset_class ,open_time_st ,open_time_dst ,close_time_st ,close_time_dst,timezone,auction_duration,breaks,exchange,weekday_open_schedule,weekday_closed_schedule,st_structure,dst_structure
EURUSD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
EURTRY,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
EURJPY,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
EURAUD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
EURGBP,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
EURCHF,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
EURCAD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
EURMXN,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
EURNZD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
EURNOK,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
USDTWD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
USDKRW,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
USDINR,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
USDBRL,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
USDJPY,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
BTCUSD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
XRPUSD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
CHFCNH,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
CHFJPY,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
CHFNOK,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
CHFMXN,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
CHFSEK,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
CHFSGD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
CHFHKD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
CHFPLN,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
CHFCZK,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
CHFDKK,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
AUDC,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
AUDJPY,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
AUDCHF,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
AUDCAD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
AUDNOK,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
AUDSGD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
AUDMXN,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
AUDHKD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
GBPUSD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
GBPJPY,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
GBPAUD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
GBPCHF,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
GBPCAD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
GBPNZD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
GBPPLN,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
GBPHKD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
GBPSGD,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
CADJPY,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
CNHJPY,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
SGDJPY,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
